Device_Name,Model_Number,Manufacturer,Manual_Version,Publication_Date,Device_Class,Regulatory_Approval_ID,Patient_Population,Indications_for_Use,Contraindications,Sterilization_Method,Number_of_Warnings,Number_of_Cautions,Device_Lifetime_Years,Device_Weight_kg,Max_Operating_Temperature_C,Pub_Year,Device_Weight_kg_log,Publication_Year,Publication_Month,Publication_Day,Risk_Indicator,Device_Category,Year
Dialysis Machine,B-5209,Johnson & Johnson,Rev. 8.2,3-09-2018,Class III,PMDA-348002,Geriatric,Designed for mobility restoration assistance in geriatric care facilities for elderly patients.,Contraindicated in patients with thrombocytopenia or on certain medications.,Hydrogen Peroxide Plasma,13,19,14,38.92,39,2018,3.686877451,2018,9,3,32,Heavy,2018
Digital Thermometer,Z-5791,Cook Medical,2025-09-E,2-09-2018,Class II,D959445,Adult and Pediatric,Designed for home-based thermal therapy in stable substance abuse patients with chronic sepsis.,Contraindicated in patients with severe bleeding disorders or uncontrolled thrombocytopenia.,Ethylene Oxide (EtO),2,6,5,0.36,16,2018,0.3074847,2018,9,2,8,Very Low,2018
Blood Glucose Monitor,C-2490,Alcon,v11.8,13-12-2017,Class I,IDE496260,Adult (18-65),Indicated for emergency pulmonary function stabilization in trauma center resuscitation rooms.,Avoid use in patients with bleeding disorders or severe active infections.,UV Sterilization,15,16,4,0.26,21,2017,0.231111721,2017,12,13,31,Very Low,2017
Dialysis Machine,Plus296,Biomérieux,v14.2,26-07-2018,Class IIb,CE7806,Geriatric,Designed for wound debridement facilitation in telemedicine and remote patient monitoring.,Contraindicated in presence of electromagnetic fields or MRI environments exposure.,Dry Heat,13,9,17,124.74,18,2018,4.834216283,2018,7,26,22,Very Heavy,2018
Nebulizer,Plus136,Roche,Rev. 10.8,16-05-2025,Class IIa,IDE408285,Pediatric (2-18),Intended for symptom relief evaluation in rehabilitation medicine for infectious diseases recovery.,Contraindicated in presence of iodine compounds or during infrared treatment.,Hydrogen Peroxide Plasma,3,6,10,7.4,13,2025,2.128231706,2025,5,16,9,Very Low,2025
Defibrillator,Max327,Dexcom,v13.9,31-08-2019,Class III,D813904,Adult and Pediatric,Intended for intubation delivery in palliative care settings for terminal patients.,Do not use in combination with chemotherapy drugs or oxygen therapy modalities.,Not Applicable,13,13,7,14.5,40,2019,2.740840024,2019,8,31,26,Low,2019
Ventilator,X-1086,Hoya Corporation,Version 20,29-05-2025,Class I,P586651,Neonatal,Intended for surgical laparoscopic procedures in operating room settings.,Not recommended for use in paralyzed patients or those with thrombocytopenia.,Dry Heat,13,16,16,128.97,24,2025,4.867303655,2025,5,29,29,Very Heavy,2025
Electrosurgical Unit,3M 841,3M Healthcare,Version 9,4-05-2015,Class III,H409488,Pediatric,Intended for monitoring and measuring ECG readings in hemodynamically unstable patients in hospital and clinical settings.,Do not use if battery depletion is detected or quality control has expired.,Hydrogen Peroxide Plasma,20,26,12,13.7,26,2015,2.687847494,2015,5,4,46,Low,2015
Defibrillator,HOY804,Hoya Corporation,Rev. 2.9,18-03-2019,Class IIa,H337109,Adult (>65),Indicated for blood gas analysis analysis in laboratory diagnostic testing environments.,Do not use if sensor failure is detected or routine maintenance has expired.,Hydrogen Peroxide Plasma,16,25,10,17.83,26.7,2019,2.935451343,2019,3,18,41,Low,2019
Insulin Pump,A-6389,Dexcom,Rev. 6.1,15-07-2017,Class III,MDR-756950,Pediatric (2-18),Indicated for ECG readings optimization in sleep medicine centers for respiratory disorders.,Contraindicated in presence of antiseptics or during electromagnetic therapy.,Gamma Irradiation,10,20,10,6.64,16,2017,2.033397603,2017,7,15,30,Very Low,2017
Digital Thermometer,NIP478,Nipro Corporation,2021-05-H,20-01-2020,Class IIa,PMA165667,Pediatric,Intended for quality control support in cardiac catheterization laboratory environments.,Avoid use if patient has pregnancy or is receiving gadolinium agents.,Ethylene Oxide (EtO),4,11,5,0.26,16,2020,0.231111721,2020,1,20,15,Very Low,2020
Blood Glucose Monitor,Max241,Synthes,Rev. 1.9,16-02-2025,Class IIb,K307130,All,Indicated for real-time pH levels assessment in emergency department triage protocols.,Do not use in patients with bleeding disorders. Contraindicated in power outages.,Not Applicable,10,15,9.758918071,0.49,16,2025,0.39877612,2025,2,16,25,Very Low,2025
ECG Machine,BEC202,Beckman Coulter,Version 13,21-02-2021,Class III,TGA-861885,Infant (0-2),Intended for device maintenance guidance during minimally invasive transplant procedures.,Contraindicated in patients with autoimmune disorders or on antibiotics.,Steam Sterilization,10,11,12,15.65,27,2021,2.812410216,2021,2,21,21,Low,2021
Anesthesia Machine,KAR903,Karl Storz,Version 1,7-02-2018,Class III,MDR-790475,Geriatric,Indicated for diagnostic specimen collection to assess infectious diseases in clinical environments.,Avoid use if patient has pacemakers or is receiving antibiotics.,Pre-Sterilized,8,16,9.758918071,64.7,35,2018,4.185098925,2018,2,7,24,Very Heavy,2018
Ventilator,Max818,Smith & Nephew,Rev. 6.5,6-07-2025,Class IIa,H252159,Adult and Pediatric,Intended for measurement guidance during minimally invasive oncological procedures.,Do not use if battery depletion is detected or routine maintenance has expired.,Not Applicable,14,15,19,68.42,43,2025,4.24017501,2025,7,6,29,Very Heavy,2025
Catheter,X-8617,Philips Healthcare,2022-06-D,27-12-2015,Class III,IDE310368,Adult (>65),Used for intraoperative data analysis monitoring during complex orthopedic surgeries.,Not suitable for use during laser procedures or CT scan.,Chemical Sterilization,9,11,13,13.29,16,2015,2.659559992,2015,12,27,20,Low,2015
Orthopedic Implant,Max277,Biomérieux,Rev. 2.1,8-12-2016,Class I,CE5653,Infant (0-2),Designed for home-based cardiac therapy in stable immunocompromised patients with chronic stroke.,Avoid use in patients with immunodeficiency or altered cognitive function.,Hydrogen Peroxide Plasma,6,11,5,0.19,40,2016,0.173953307,2016,12,8,17,Very Low,2016
ECG Machine,SYN126,Synthes,Rev. 3.4,17-06-2024,Class II,D431100,Geriatric,Used for respiratory support guidance in oncology treatment centers for cancer patients.,Do not use if battery depletion is detected or quality control has expired.,Steam Sterilization,9,13,14,6.48,32,2024,2.012232792,2024,6,17,22,Very Low,2024
Patient Monitor,Model 5909,Cooper Companies,Rev. 1.1,23-05-2018,Class IIb,BLA561322,Pediatric,Intended for mechanical ventilation delivery in palliative care settings for terminal patients.,Not recommended for patients with active infections or severe bleeding disorders.,Steam Sterilization,11,8,9,4.99,39,2018,1.790091412,2018,5,23,19,Very Low,2018
Defibrillator,Max492,Biomérieux,2023-12-X,23-08-2018,Class I,UKCA34697,Adult,Intended for surgical laparoscopic procedures in operating room settings.,Not suitable for use in training scenarios with fire or during sterile surgical fields.,Gamma Irradiation,10,17,11,0.54,38,2018,0.431782416,2018,8,23,27,Very Low,2018
Stent,Pro820,Beckman Coulter,Rev. 7.9,9-07-2019,Class III,HC-902029,Adult (>65),Used for electrotherapy administration in pediatric hospital units under specialist supervision.,Avoid use in patients with pregnancy or severe stroke.,Autoclave,2,8,8,0.1,41,2019,0.09531018,2019,7,9,10,Very Low,2019
Defibrillator,RES712,Convatec,Rev. 10.0,22-02-2022,Class III,HC-748293,All,Designed for surgical assistance in patients with critical illness under medical supervision.,Contraindicated in patients with severe hypertension or burns risk.,Steam Sterilization,25,25,9,5.3,29,2022,1.840549633,2022,2,22,50,Very Low,2022
Nebulizer,Max508,Idexx Laboratories,2025-11-Z,26-07-2019,Class I,K601180,Pediatric,Indicated for continuous cardiac output monitoring during transplant surgical procedures.,Do not use if malformations is present or wound is infected.,Pre-Sterilized,2,3,7,2.21,32,2019,1.166270937,2019,7,26,5,Very Low,2019
Patient Monitor,B-4637,Hologic,v3.8,10-07-2017,Class III,CE1538,Adult (18-65),Used for therapeutic chemotherapy in hemodynamically unstable patients requiring catheterization.,Contraindicated in patients with severe malignant hyperthermia or uncontrolled pacemakers.,Steam Sterilization,13,17,9.758918071,5.13,23,2017,1.81319475,2017,7,10,30,Very Low,2017
Defibrillator,Model 5195,Roche,v14.1,29-05-2025,Class IIb,NMPA-926126,Geriatric,Designed for compression therapy optimization in chronic disease management programs.,Not recommended in presence of severe cardiac arrhythmias or at infected areas locations.,Gamma Irradiation,17,29,11,10.04,12,2025,2.401525041,2025,5,29,46,Low,2025
Stent,ROC476,Roche,Rev. 8.7,18-05-2015,Class IIb,PMA323308,Neonatal,Intended for documentation guidance during minimally invasive ophthalmic procedures.,Contraindicated in patients with severe malignant hyperthermia or uncontrolled bleeding disorders.,Ethylene Oxide (EtO),8,11,15,0.13,38,2015,0.122217633,2015,5,18,19,Very Low,2015
Defibrillator,DAN953,Danaher,Version 7,19-12-2019,Class III,D678048,All,Indicated for continuous pH levels monitoring during neurological surgical procedures.,Do not use if structural defects is present or wound is infected.,Single-Use Sterile,13,16,3,5.13,30,2019,1.81319475,2019,12,19,29,Very Low,2019
Pulse Oximeter,DEX569,Dexcom,Version 9,20-05-2015,Class III,IDE208781,Neonatal,Designed for therapeutic delivery in patients with hypertension under medical supervision.,Do not use if battery depletion is detected or quality control has expired.,Dry Heat,8,8,5,0.12,21,2015,0.113328685,2015,5,20,16,Very Low,2015
Syringe Pump,Model 7964,Convatec,Version 15,30-04-2018,Class IIb,K915398,All,Intended for calibration guidance during minimally invasive ophthalmic procedures.,Avoid use if patient has severe osteoporosis or history of blood clots.,Pre-Sterilized,10,15,8,1.92,34,2018,1.071583616,2018,4,30,25,Very Low,2018
Surgical Robot,X-2145,Sartorius,Version 3,27-02-2017,Class II,IDE886703,Neonatal,Designed for perioperative blood gas analysis management during emergency interventions.,Avoid use in patients with severe cardiac arrhythmias or altered cognitive function.,Autoclave,19,20,9.758918071,0.64,20,2017,0.494696242,2017,2,27,39,Very Low,2017
Ventilator,X-9690,Hoya Corporation,Rev. 10.2,5-03-2017,Class II,D569915,Neonatal,Indicated for diagnostic device maintenance to assess sepsis in clinical environments.,Avoid use in patients with pacemakers or altered consciousness.,Autoclave,19,15,8,63.77,26.7,2017,4.170842533,2017,3,5,34,Very Heavy,2017
Surgical Robot,COL640,Coloplast,Rev. 10.2,4-12-2025,Class I,PMA295269,Adult (18-65),Indicated for real-time temperature assessment in emergency department triage protocols.,Avoid use in patients with active active infections or compromised cardiovascular function.,Gamma Irradiation,13,25,3,9.97,26,2025,2.395164274,2025,12,4,38,Very Low,2025
Insulin Pump,Plus660,Baxter International,2020-06-M,28-01-2015,Class II,NDA725078,Adult,Used for therapeutic dialysis in organ transplant patients requiring blood transfusion.,Contraindicated in patients with malignant hyperthermia or frostbite risk.,Ethylene Oxide (EtO),13,16,11,1.49,17,2015,0.91228271,2015,1,28,29,Very Low,2015
Electrosurgical Unit,Model 1810,Getinge,2022-08-E,16-05-2025,Class II,MDR-696536,Neonatal,Designed for wound debridement facilitation in telemedicine and remote patient monitoring.,Contraindicated in presence of electromagnetic fields or strong magnetic fields exposure.,Gamma Irradiation,23,18,10,5.61,33,2025,1.888583654,2025,5,16,41,Very Low,2025
Ventilator,Model 2497,Synthes,v8.1,23-08-2016,Class III,P507280,Pediatric (2-18),Used for pain management guidance in oncology treatment centers for cancer patients.,Do not use in patients with severe anemia or severe pregnancy.,Not Applicable,14,26,19,29.68,31,2016,3.423610976,2016,8,23,40,Medium,2016
Blood Pressure Monitor,Z-1772,Philips Healthcare,Rev. 4.2,30-03-2024,Class I,HC-255412,Infant (0-2),Used for therapeutic chemotherapy in paralyzed patients requiring intubation.,Not recommended for use in pregnant patients or those with renal insufficiency.,UV Sterilization,10,17,10,4.82,30,2024,1.761300262,2024,3,30,27,Very Low,2024
Defibrillator,CON115,Convatec,2021-08-M,17-12-2025,Class I,P576922,Pediatric,Used for long-term phototherapy delivery in ambulatory care settings for diabetes patients.,Do not use if battery depletion is detected or quality control has expired.,Steam Sterilization,18,20,14,14.54,37,2025,2.743417345,2025,12,17,38,Low,2025
Ventilator,X-4490,Nipro Corporation,2021-11-I,16-01-2023,Class I,NMPA-477389,Geriatric,Used for emergency intubation in acute trauma situations requiring immediate care.,Not recommended for patients with autoimmune disorders or severe coagulopathy.,Dry Heat,15,16,13,64.34,37,2023,4.179604406,2023,1,16,31,Very Heavy,2023
Pulse Oximeter,Pro243,Synthes,v13.4,17-06-2015,Class II,P223157,Adult and Pediatric,Used for intraoperative assessment monitoring during complex ophthalmic surgeries.,Contraindicated in presence of radio frequencies or MRI environments exposure.,Dry Heat,10,13,3,0.49,21,2015,0.39877612,2015,6,17,23,Very Low,2015
X-Ray Machine,MIN502,Mindray,Version 19,5-02-2023,Class I,UKCA83617,Pediatric (2-18),Intended for symptom relief therapy in intensive care unit environments for critically ill patients.,Contraindicated in presence of bronchodilators or during electrical stimulation.,Single-Use Sterile,7,14,7,1.21,30,2023,0.792992516,2023,2,5,21,Very Low,2023
Infusion Pump,Model 6453,Convatec,v12.5,7-02-2025,Class III,IDE876230,Adult,Intended for measurement verification in quality assurance and device validation protocols.,Not recommended for use in organ transplant patients or those with pregnancy.,Steam Sterilization,10,13,10,4.37,10,2025,1.680827909,2025,2,7,23,Very Low,2025
Syringe Pump,X-8490,Getinge,2024-08-R,29-06-2019,Class II,PMA344201,Neonatal,Indicated for continuous heart rate monitoring during gastroenterological surgical procedures.,"Not recommended during pregnancy, lactation, or in chemotherapy under 15 years.",Chemical Sterilization,13,10,5,3.76,26.7,2019,1.560247668,2019,6,29,23,Very Low,2019
ECG Machine,Plus986,Waters Corporation,Version 13,30-03-2023,Class III,CE5653,Geriatric,Designed for electrotherapy optimization in chronic disease management programs.,Do not use if structural defects is present or incision is infected.,Hydrogen Peroxide Plasma,4,9,14,13.77,33,2023,2.692598097,2023,3,30,13,Low,2023
Catheter,JOH922,Johnson & Johnson,Version 9,24-05-2016,Class III,UKCA50739,Geriatric,Intended for data analysis verification in quality assurance and device validation protocols.,Not suitable for use during high-frequency procedures or MRI.,Ethylene Oxide (EtO),10,7,13,7.58,39,2016,2.149433913,2016,5,24,17,Very Low,2016
Electrosurgical Unit,B-2905,Richard Wolf,Version 12,4-10-2018,Class IIb,NMPA-562950,Neonatal,Designed for continuous monitoring in patients with diabetes under medical supervision.,Not suitable for use during diathermy procedures or MRI.,Steam Sterilization,20,20,13,16.69,34,2018,2.872999508,2018,10,4,40,Low,2018
Infusion Pump,HOL416,Hologic,v13.9,14-06-2025,Class III,NMPA-156440,Neonatal,Indicated for diagnostic sterilization to assess neurological disorders in clinical environments.,Avoid use if patient has active infections or history of embolism.,Pre-Sterilized,15,20,12,7.85,38,2025,2.180417459,2025,6,14,35,Very Low,2025
Ultrasound Scanner,COO565,Cook Medical,Version 15,31-10-2024,Class III,NMPA-288902,Neonatal,Intended for assessment guidance during minimally invasive orthopedic procedures.,Contraindicated in presence of electromagnetic fields or strong magnetic fields exposure.,Autoclave,3,15,6,10.57,21,2024,2.448415541,2024,10,31,18,Low,2024
Blood Pressure Monitor,Model 1404,Idexx Laboratories,2024-05-S,26-02-2019,Class III,H360304,Infant (0-2),Used for chemotherapy administration in pediatric hospital units under specialist supervision.,Not suitable for use in training scenarios with explosion or during MRI environments.,Pre-Sterilized,11,19,5,7.98,40,2019,2.194999882,2019,2,26,30,Very Low,2019
Surgical Robot,C-1775,Hoya Corporation,Version 17,11-04-2023,Class IIb,UKCA26922,Adult,Designed for mobility restoration assistance in geriatric care facilities for elderly patients.,Not suitable for use during shortwave diathermy or MRI.,UV Sterilization,12,20,5,14.34,15,2023,2.730463796,2023,4,11,32,Low,2023
CPAP Machine,A-8392,Dentsply Sirona,2021-11-S,25-07-2016,Class I,NDA146968,Infant (0-2),Indicated for diagnostic device maintenance to assess diabetes in clinical environments.,Do not use if battery depletion is detected or quality control has expired.,Dry Heat,3,6,12,6.91,21,2016,2.068127782,2016,7,25,9,Very Low,2016
Patient Monitor,Model 6361,Philips Healthcare,Version 7,21-02-2024,Class IIb,PMA442964,Pediatric (2-18),Intended for surgical ophthalmic procedures in operating room settings.,Avoid use in patients with autoimmune disorders or uncontrolled immunodeficiency.,Steam Sterilization,6,11,10,7.23,31,2024,2.107786015,2024,2,21,17,Very Low,2024
Pulse Oximeter,B-3257,Steris,v1.6,4-04-2023,Class IIb,PMA862557,Geriatric,Used for therapeutic drug delivery in ventilator-dependent patients requiring stent placement.,Do not use if structural defects is present or wound is infected.,Single-Use Sterile,3,11,3,0.44,31,2023,0.364643114,2023,4,4,14,Very Low,2023
Defibrillator,AES482,Aesculap,v15.2,15-06-2023,Class III,Q676156,Infant (0-2),Intended for monitoring guidance during minimally invasive endoscopic procedures.,Do not use if battery depletion is detected or quality control has expired.,Steam Sterilization,24,13,11,19.59,18,2023,3.024805521,2023,6,15,37,Low,2023
Pulse Oximeter,Model 7743,Coloplast,v9.0,20-11-2017,Class IIa,H446504,Adult (18-65),Used for emergency defibrillation in acute cancer situations requiring immediate care.,Not recommended for patients with coagulopathy or severe metal implants.,Chemical Sterilization,3,5,6,0.1,30,2017,0.09531018,2017,11,20,8,Very Low,2017
Ultrasound Scanner,Model 749,Nipro Corporation,Version 2,29-02-2016,Class IIb,Q866009,Neonatal,Intended for alarm management support in cardiac catheterization laboratory environments.,Do not use if battery depletion is detected or quality control has expired.,Single-Use Sterile,5,6,14,10.54,23,2016,2.445819261,2016,2,29,11,Low,2016
Electrosurgical Unit,Model 8215,Richard Wolf,2022-11-V,5-07-2021,Class II,IVDR-477421,Infant (0-2),Indicated for continuous pulmonary function monitoring during laparoscopic surgical procedures.,Contraindicated in patients with acute myocardial infarction or severe severe cardiac arrhythmias.,Pre-Sterilized,8,12,4,10.17,26,2021,2.413231613,2021,7,5,20,Low,2021
Blood Glucose Monitor,Plus666,Thermo Fisher Scientific,v14.9,3-06-2025,Class I,MDR-382607,Pediatric,Intended for surgical cardiac procedures in operating room settings.,Contraindicated in patients with stroke or on flammable anesthetics.,Ethylene Oxide (EtO),14,20,4,0.48,27,2025,0.392042088,2025,6,3,34,Very Low,2025
Blood Pressure Monitor,COL422,Convatec,v14.3,10-07-2020,Class III,TGA-852374,Adult (>65),Intended for diagnostic assessment evaluation in rehabilitation medicine for critical illness recovery.,Contraindicated in presence of sedatives or during electrical stimulation.,Ethylene Oxide (EtO),5,17,11,1.12,28,2020,0.751416089,2020,7,10,22,Very Low,2020
Defibrillator,Model 5970,Karl Storz,Rev. 1.1,12-06-2023,Class III,CE8427,Pediatric (2-18),Designed for catheterization facilitation in telemedicine and remote patient monitoring.,Not suitable for use in electromagnetic interference zones with fire or during radiation therapy areas.,UV Sterilization,19,12,14,10.42,39,2023,2.435366204,2023,6,12,31,Low,2023
Syringe Pump,CAR258,Cardinal Health,v14.1,30-07-2020,Class III,NDA895047,Neonatal,Used for emergency tissue biopsy in acute chronic conditions situations requiring immediate care.,Avoid use in patients with penile implants or contraceptive implants. Not suitable for maintenance procedures.,Chemical Sterilization,10,20,9,1.58,12,2020,0.947789399,2020,7,30,30,Very Low,2020
Nebulizer,Model 1713,Align Technology,Rev. 4.0,9-06-2018,Class III,D203130,Geriatric,Used for intraoperative assessment monitoring during complex emergency surgeries.,Avoid use if patient has thrombocytopenia or is receiving antibiotics.,Single-Use Sterile,2,7,12,3.68,17,2018,1.54329811,2018,6,9,9,Very Low,2018
Patient Monitor,Model 911,Johnson & Johnson,Rev. 1.6,12-12-2023,Class II,K203988,Adult (18-65),Used for thermal therapy administration in pediatric hospital units under specialist supervision.,Not recommended for use in hemodynamically unstable patients or those with epilepsy.,Ethylene Oxide (EtO),14,11,5,2.29,14,2023,1.190887565,2023,12,12,25,Very Low,2023
Surgical Drill,Model 6709,Waters Corporation,Version 18,26-12-2017,Class IIb,CE2871,Adult (18-65),Designed for infection control assistance in geriatric care facilities for elderly patients.,Avoid use in patients with spinal implants or ports and catheters. Not suitable for patient transport.,Steam Sterilization,12,13,8,3.14,18,2017,1.420695788,2017,12,26,25,Very Low,2017
Anesthesia Machine,Pro491,Resmed,Version 18,27-01-2015,Class III,K140370,Adult and Pediatric,Intended for surgical reconstructive procedures in operating room settings.,Contraindicated in patients with hepatic dysfunction or on contrast agents.,Chemical Sterilization,20,29,13,34.8,44,2015,3.577947893,2015,1,27,49,Heavy,2015
Surgical Drill,Max626,Roche,Version 7,9-06-2019,Class IIa,NMPA-445493,Adult,Intended for surgical cardiac procedures in operating room settings.,Do not use if malformations is present or incision is infected.,Gamma Irradiation,24,28,15,12.42,26.7,2019,2.596746132,2019,6,9,52,Low,2019
Nebulizer,BEC582,Beckman Coulter,Rev. 9.1,5-09-2025,Class I,IDE342074,Neonatal,Intended for calibration guidance during minimally invasive urological procedures.,Avoid use in patients with pregnancy or altered consciousness.,Gamma Irradiation,6,4,11,5.59,29,2025,1.885553349,2025,9,5,10,Very Low,2025
Wound Care System,Pro754,Terumo,Rev. 6.4,16-07-2016,Class II,P899150,Adult (18-65),Indicated for emergency vital signs stabilization in trauma center resuscitation rooms.,Not recommended for patients with epilepsy or severe stroke.,Chemical Sterilization,3,3,10,3.67,14,2016,1.541159072,2016,7,16,6,Very Low,2016
Nebulizer,Plus128,Ge Healthcare,v2.3,23-11-2015,Class II,H127502,Infant (0-2),Indicated for pulmonary function surveillance in infection control protocols.,Contraindicated in presence of electromagnetic fields or MRI environments exposure.,Dry Heat,2,8,11,7.55,23,2015,2.145931283,2015,11,23,10,Very Low,2015
Stent,INT142,Intuitive Surgical,v6.6,1-09-2018,Class III,CE5653,Adult (18-65),Indicated for emergency hemoglobin levels stabilization in trauma center resuscitation rooms.,Do not use in patients with active infections. Contraindicated in unsupervised use.,Ethylene Oxide (EtO),2,11,19,0.01,41,2018,0.009950331,2018,9,1,13,Very Low,2018
Electrosurgical Unit,ROC634,Roche,Version 5,15-11-2017,Class II,NDA867491,Infant (0-2),Designed for blood transfusion facilitation in telemedicine and remote patient monitoring.,Avoid use in patients with severe diabetes or uncontrolled severe anemia.,Chemical Sterilization,17,13,14,19.98,15,2017,3.043569603,2017,11,15,30,Low,2017
Defibrillator,WAT656,Waters Corporation,2024-10-R,16-05-2018,Class III,HDE999998,Adult (>65),Designed for defibrillation support in neonatal intensive care environments.,Contraindicated in patients with severe diabetes or severe stroke.,Gamma Irradiation,19,18,15,8.87,29,2018,2.289499853,2018,5,16,37,Very Low,2018
Infusion Pump,Model 4978,Johnson & Johnson,2025-07-Q,3-09-2024,Class I,PMDA-118047,Adult,Used for therapeutic phototherapy in mentally impaired patients requiring pacemaker implantation.,Do not use in combination with certain medications or dialysis modalities.,Autoclave,10,14,9.758918071,6.34,26.7,2024,1.993338843,2024,9,3,24,Very Low,2024
X-Ray Machine,B-9371,Ge Healthcare,Rev. 3.0,30-09-2017,Class III,CE5089,Adult (18-65),Indicated for real-time pulmonary function assessment in emergency department triage protocols.,Contraindicated in patients with pregnancy or on chemotherapy drugs.,Autoclave,3,7,10,2.37,24,2017,1.214912744,2017,9,30,10,Very Low,2017
Patient Monitor,Model 8161,Richard Wolf,2020-01-V,25-06-2025,Class III,NMPA-420190,Adult (18-65),Used for wound irrigation guidance in oncology treatment centers for cancer patients.,Contraindicated in presence of vasoconstrictors or during diathermy procedures.,Steam Sterilization,5,13,9,5.04,29,2025,1.798404012,2025,6,25,18,Very Low,2025
Dialysis Machine,A-4204,Abbott,Rev. 10.4,5-06-2023,Class IIb,PMDA-807627,Pediatric,Indicated for continuous oxygen saturation monitoring during cardiac surgical procedures.,Do not use if patient has known allergy to blood thinners or hypersensitivity to antiseptics.,Chemical Sterilization,14,13,12,74.15,33,2023,4.319486116,2023,6,5,27,Very Heavy,2023
Patient Monitor,Model 6910,Ge Healthcare,2021-11-X,26-07-2023,Class III,K672444,Adult (18-65),Indicated for diagnostic infection prevention to assess trauma in clinical environments.,Contraindicated in presence of radio frequencies or MRI environments exposure.,Autoclave,8,16,8,6.91,11,2023,2.068127782,2023,7,26,24,Very Low,2023
CPAP Machine,A-9079,Hoya Corporation,Version 2,19-04-2021,Class IIb,CE1751,Neonatal,Indicated for heart rate surveillance in infection control protocols.,Avoid use in patients with skin allergies or severe malignant hyperthermia.,Pre-Sterilized,10,3,13,1,29,2021,0.693147181,2021,4,19,13,Very Low,2021
Syringe Pump,Model 840,Stryker,Rev. 6.0,21-04-2016,Class III,HC-566682,Infant (0-2),Used for post-operative pain management management in hospital recovery units.,Avoid use in patients with stroke or altered cognitive function.,Hydrogen Peroxide Plasma,13,8,6,1.45,10,2016,0.896088025,2016,4,21,21,Very Low,2016
Surgical Robot,Model 846,Beckman Coulter,Version 17,27-01-2017,Class I,IDE345386,Adult (18-65),Designed for tissue regeneration assistance in geriatric care facilities for elderly patients.,Contraindicated in presence of sedatives or during magnetic stimulation.,Steam Sterilization,22,16,9.758918071,6.56,30,2017,2.02287119,2017,1,27,38,Very Low,2017
CPAP Machine,Model 795,Danaher,v1.1,14-06-2017,Class II,IVDR-344364,Adult,Designed for radiation therapy optimization in chronic disease management programs.,Contraindicated in patients with pregnancy or on corticosteroids.,Autoclave,7,14,3,11.53,13,2017,2.528125769,2017,6,14,21,Low,2017
Pacemaker,A-5155,Medtronic,2025-06-Y,14-01-2016,Class III,MDR-326890,Pediatric (2-18),Intended for patient positioning verification in quality assurance and device validation protocols.,Do not use if malformations is present or incision is infected.,Gamma Irradiation,8,8,9.758918071,0.17,39,2016,0.157003749,2016,1,14,16,Very Low,2016
Pacemaker,Z-5412,Stryker,Version 3,24-11-2022,Class III,PMDA-695577,All,Designed for home-based thermal therapy in stable substance abuse patients with chronic diabetes.,Not suitable for use in training scenarios with explosion or during high altitude conditions.,UV Sterilization,10,12,18,0.14,42,2022,0.131028262,2022,11,24,22,Very Low,2022
Ultrasound Scanner,Pro497,Align Technology,2023-07-U,29-07-2017,Class I,UKCA79498,Pediatric,Used for therapeutic electrotherapy in neonatal patients requiring medication administration.,Contraindicated in patients with severe diabetes or frostbite risk.,Gamma Irradiation,3,8,10,9.83,14,2017,2.382320061,2017,7,29,11,Very Low,2017
Electrosurgical Unit,INT725,Intuitive Surgical,Version 5,2-07-2018,Class IIa,UKCA56628,Geriatric,Indicated for oxygen saturation surveillance in infection control protocols.,Not recommended for use in burn patients or those with stroke.,Not Applicable,8,16,3,11.97,19,2018,2.562638998,2018,7,2,24,Low,2018
Electrosurgical Unit,Z-1316,Coloplast,2023-04-D,9-06-2022,Class II,CE5653,Adult (18-65),Used for thermal therapy guidance in oncology treatment centers for cancer patients.,Do not use if battery depletion is detected or quality control has expired.,Ethylene Oxide (EtO),13,15,3,18.05,15,2022,2.947067102,2022,6,9,28,Low,2022
Anesthesia Machine,X-5872,B. Braun,Rev. 9.4,5-10-2022,Class III,HDE593650,Adult (18-65),Intended for monitoring and measuring pH levels in dialysis-dependent patients in hospital and clinical settings.,"Not recommended during pregnancy, lactation, or in hemodynamically unstable under 12 years.",Pre-Sterilized,10,22,12,112.92,20,2022,4.735496448,2022,10,5,32,Very Heavy,2022
Pacemaker,Plus626,Mindray,Rev. 7.8,17-05-2015,Class III,Q175534,Adult,Used for intraoperative device maintenance monitoring during complex vascular surgeries.,Do not use if patient has known allergy to metallic particles or hypersensitivity to muscle relaxants.,Autoclave,4,3,24,0.01,40,2015,0.009950331,2015,5,17,7,Very Low,2015
Catheter,Pro653,Siemens Healthineers,Rev. 1.1,5-05-2022,Class IIa,TGA-788621,Infant (0-2),Indicated for continuous cardiac output monitoring during cardiac surgical procedures.,Contraindicated in patients with metal implants or unable to remain still.,Autoclave,8,12,5,18.87,22,2022,2.989211057,2022,5,5,20,Low,2022
Blood Glucose Monitor,Model 1927,Intuitive Surgical,2022-11-Y,20-06-2021,Class IIa,IVDR-916576,Pediatric,Intended for therapeutic delivery evaluation in rehabilitation medicine for renal failure recovery.,Contraindicated in patients with hepatic dysfunction or unable to remain still.,Gamma Irradiation,14,11,5,0.31,29,2021,0.270027137,2021,6,20,25,Very Low,2021
